user-id,movie-id,recommendation-score
104,2862,4.0
13,762,2.5
23,1504,3.0
279,860,1.0
134,2863,4.5
102,2757,3.5
23,1996,2.0
54,2644,4.0
24,2321,2.5
56,94,4.0
136,2257,5.0
15,901,3.0
219,166,5.0
41,1455,1.0
106,2062,5.0
129,356,2.0
203,183,4.5
72,619,5.0
106,33,4.0
218,183,4.0
57,1462,3.0
145,167,4.0
219,1808,2.0
42,490,5.0
51,2800,3.5
199,1596,4.0
215,1111,4.5
67,901,4.0
8,699,3.0
28,730,1.0
158,1307,3.0
115,575,2.5
111,936,5.0
23,2684,2.5
223,1177,5.0
25,1570,4.0
2,2912,2.5
281,8,4.0
266,641,4.0
57,749,3.5
51,2227,3.5
69,2399,4.0
262,1566,5.0
17,1444,3.5
0,1013,2.0
62,202,3.0
142,328,4.0
81,992,4.0
30,1036,5.0
10,1044,5.0
20,868,2.5
32,1711,2.0
22,1556,4.0
64,856,4.0
4,1988,4.0
26,1270,2.0
22,622,5.0
121,1719,4.5
133,863,5.0
10,1570,3.0
11,448,3.0
12,238,4.0
52,473,5.0
14,215,2.5
71,54,4.0
124,1055,4.0
45,1572,0.5
43,2633,2.0
4,2226,3.0
166,542,2.0
21,1004,3.0
4,2839,4.0
175,1908,1.0
5,1803,3.5
153,126,5.0
10,2128,4.0
72,1002,3.5
263,315,3.0
4,2770,4.0
6,419,2.5
187,124,2.0
25,704,4.0
186,1775,3.0
6,2406,2.5
217,885,5.0
213,1213,4.0
65,297,3.5
65,928,2.5
101,2580,5.0
39,1516,3.0
158,1286,2.0
14,186,2.5
1,1206,3.0
126,832,4.0
10,1531,3.0
8,502,2.5
3,848,4.0
14,1877,4.0
75,2130,4.0
16,1352,4.0
74,563,4.0
10,211,4.5
91,2069,3.0
20,211,2.5
16,2137,4.0
111,797,5.0
191,1415,1.0
221,159,3.0
58,589,4.5
85,457,4.0
140,94,4.0
127,2625,3.0
221,381,5.0
5,1422,5.0
2,2717,3.0
8,961,5.0
5,798,3.0
23,2660,2.0
91,252,4.0
53,510,3.5
16,1511,4.0
1,58,2.0
100,2640,4.5
12,755,3.5
45,77,3.0
216,1337,4.0
34,2350,3.5
275,2112,4.0
59,1570,2.0
300,2370,3.5
111,106,4.0
13,1575,1.0
109,2717,2.5
163,454,4.0
166,1154,2.0
78,1176,4.5
52,1572,5.0
163,1,2.0
92,563,4.0
235,2584,4.5
122,1549,4.0
31,1685,3.0
69,635,4.5
6,481,4.0
52,1516,4.0
62,1829,0.5
33,19,3.0
83,1851,3.0
42,1556,3.0
279,1117,4.0
104,1899,3.0
24,2839,3.0
24,2222,2.0
85,1814,4.0
54,2549,4.0
129,2072,3.0
41,1948,4.0
14,96,4.0
110,2579,4.0
56,701,4.0
98,349,3.5
91,1663,4.5
141,1332,1.5
213,2723,5.0
17,1795,3.0
73,762,4.0
6,2322,2.5
17,1830,4.0
223,2366,4.0
12,130,2.0
291,2102,3.0
52,1250,4.0
1,285,1.0
230,1016,4.0
111,376,5.0
1,349,5.0
138,2810,4.0
231,96,4.0
4,2943,4.5
70,2755,3.0
14,1841,0.5
142,599,3.0
2,611,3.0
114,1345,1.0
174,1840,4.0
265,25,4.0
184,1528,3.0
114,1172,5.0
250,1084,4.0
189,213,3.0
297,1064,4.0
166,198,4.0
172,2880,4.5
75,578,2.5
3,2754,4.0
255,822,3.5
14,942,3.0
4,679,4.0
15,1495,4.0
118,1235,2.0
31,1959,3.0
134,1279,5.0
205,528,4.5
129,2271,4.0
29,504,4.0
286,1752,5.0
183,160,1.5
22,739,5.0
24,2365,1.0
53,217,3.5
11,862,4.0
6,96,3.0
278,2578,5.0
153,226,3.0
203,1069,3.5
34,728,3.5
48,250,3.5
163,171,5.0
27,1854,5.0
1,988,4.0
74,283,4.0
11,2086,3.0
11,2349,3.5
8,478,3.0
18,98,2.0
31,566,3.0
7,1809,4.0
123,42,4.5
77,40,5.0
33,435,2.0
71,478,4.0
248,80,5.0
153,183,4.0
56,456,4.0
27,1327,3.5
5,1360,3.0
160,1287,4.0
20,618,5.0
146,2336,4.0
48,2595,3.5
1,1322,3.0
130,690,4.0
290,1818,3.0
73,1848,3.0
71,1839,4.0
90,849,4.0
271,1328,4.0
244,1906,5.0
7,2378,4.0
16,758,4.0
92,640,5.0
9,1420,4.0
20,160,2.5
213,1997,4.0
32,182,2.0
34,2818,3.5
6,936,2.5
288,835,4.0
70,2028,2.0
216,1636,4.0
84,1872,3.0
8,204,2.0
32,1337,2.0
16,1221,3.0
1,1048,5.0
175,41,2.0
57,1279,4.5
38,233,3.5
131,1487,5.0
4,2850,4.0
10,642,4.0
62,594,4.0
93,2873,4.0
3,1715,2.0
98,2013,1.5
79,697,5.0
7,445,2.0
62,1509,4.0
178,2786,3.5
29,2344,3.5
112,565,3.5
153,691,3.0
159,2257,5.0
52,1587,4.0
78,2336,4.5
19,1440,2.0
39,178,3.0
254,328,5.0
133,894,3.0
30,935,3.0
4,214,2.0
200,1016,4.0
11,363,4.0
42,112,3.0
56,698,4.0
8,1107,3.0
11,2168,2.5
84,98,3.0
67,1992,5.0
97,2613,2.5
22,1757,5.0
97,1332,1.5
79,466,5.0
84,300,3.0
57,927,1.5
144,2767,3.5
38,2237,3.5
18,927,4.0
6,2124,3.5
24,2639,3.0
1,1313,5.0
53,670,3.0
0,1955,3.5
1,1101,2.0
17,663,4.0
211,1408,5.0
23,984,2.5
25,1094,4.0
20,1322,2.0
31,2549,1.5
205,1048,4.0
108,1508,4.0
261,749,4.0
43,2667,3.5
112,641,3.5
136,2521,4.0
10,2285,4.0
13,2521,4.0
83,1106,4.0
20,19,3.0
79,409,4.0
157,230,3.5
246,99,2.0
8,971,4.5
127,2461,4.0
12,1455,3.0
2,2096,2.5
38,1016,4.0
84,1277,4.0
14,1056,3.0
12,366,3.5
15,2230,4.0
25,619,5.0
23,1978,2.5
116,1364,5.0
14,1337,2.5
296,82,5.0
231,567,4.0
213,2688,1.5
64,1444,4.5
28,1481,3.0
32,668,4.0
1,793,5.0
9,1265,2.0
174,2618,3.0
31,2191,4.0
30,1630,3.0
232,2358,4.0
264,1722,5.0
227,1706,3.0
68,2633,3.0
176,52,2.0
1,728,5.0
25,1018,4.0
106,2276,4.0
166,184,4.0
54,2795,3.5
27,1003,4.0
210,29,3.0
11,1080,2.0
253,942,3.0
123,1040,3.5
148,1808,2.0
0,2104,4.5
25,1450,4.0
181,959,5.0
100,821,4.5
234,2018,2.0
1,1670,4.0
56,575,5.0
118,2474,3.0
2,2343,3.0
4,617,5.0
7,640,4.0
303,1818,3.5
180,1362,3.0
188,132,3.0
162,1913,5.0
154,1146,2.0
182,590,3.0
98,1294,3.5
18,2628,1.0
32,666,4.0
213,2539,5.0
26,600,4.0
123,708,3.5
1,1145,4.0
101,2898,4.5
292,560,3.0
18,2463,2.5
142,107,4.0
25,1712,4.0
118,164,4.0
3,2066,2.0
28,630,5.0
43,2443,4.5
72,2442,5.0
40,2433,2.5
178,2862,3.5
6,1004,2.5
1,1437,4.0
51,1906,4.5
183,1741,3.0
45,765,4.0
153,621,4.0
109,2529,3.0
218,56,5.0
84,1261,3.0
40,2284,4.0
33,2154,2.5
303,240,3.5
64,1967,2.5
124,184,4.0
200,1287,4.5
91,1153,4.5
134,1802,5.0
194,2620,3.0
94,1215,4.5
6,2434,3.0
278,2905,4.5
127,2742,3.0
46,677,5.0
18,2205,3.0
41,141,4.0
121,619,4.0
1,1193,4.0
2,1128,3.0
22,647,5.0
47,1363,5.0
8,1137,4.0
50,494,4.0
89,618,5.0
93,1925,4.0
140,440,3.5
267,2015,4.5
37,274,3.5
249,209,4.0
2,1872,4.0
197,1894,4.0
118,847,0.5
28,76,1.0
3,1487,4.0
137,2338,4.0
41,1836,4.0
20,852,2.0
272,1707,5.0
87,714,5.0
59,1248,5.0
54,2949,5.0
93,686,4.5
240,416,5.0
54,446,4.0
17,628,5.0
207,315,3.0
179,656,5.0
47,618,4.0
50,975,4.0
149,1618,4.0
76,360,4.5
30,1742,3.0
97,2538,3.5
59,2155,1.0
51,2551,4.5
27,1721,3.5
0,1243,3.5
100,29,2.0
3,2033,3.0
122,1851,4.0
27,2162,4.5
94,296,4.0
259,1231,4.0
258,1287,4.5
138,1208,4.5
58,2215,4.0
27,473,5.0
81,1159,4.0
19,11,5.0
73,809,4.0
166,979,4.0
15,641,4.0
12,793,3.0
105,901,1.5
118,575,2.5
18,2648,3.0
2,1460,4.5
11,922,2.0
25,610,3.0
14,555,4.0
114,684,4.0
72,681,3.5
222,1250,3.5
64,1198,2.0
21,311,1.0
302,2605,4.0
230,2567,2.5
34,110,3.5
185,2504,4.5
78,2355,3.0
78,1762,4.0
28,80,1.0
283,291,3.0
42,294,3.0
19,418,4.0
119,567,4.0
69,2062,4.0
17,741,4.5
19,215,4.0
26,1605,2.0
111,770,4.0
12,1334,2.0
7,594,4.0
168,2667,4.5
26,409,5.0
80,1411,3.0
284,717,4.0
77,427,5.0
52,1145,4.0
108,1663,4.5
140,2536,4.0
247,287,4.0
242,2215,4.0
6,618,3.5
61,360,4.0
24,1765,2.0
91,1485,3.0
14,2535,4.0
249,2653,4.0
11,968,5.0
274,2212,4.5
3,1996,1.0
127,2629,5.0
162,309,4.0
60,390,4.0
20,908,2.0
58,1157,4.5
277,2883,4.0
46,640,5.0
165,575,3.0
12,2491,4.0
204,550,3.0
117,569,1.0
26,330,3.0
290,1206,4.0
127,2473,4.5
283,184,4.0
29,1641,1.0
143,2541,4.0
43,2692,3.5
33,2064,2.5
161,1890,4.0
159,297,5.0
68,2551,3.5
130,1699,4.0
41,1304,4.0
25,868,4.0
259,2173,4.0
193,1767,3.5
106,903,3.5
131,8,4.0
124,1683,5.0
3,1460,4.0
41,607,2.0
48,2062,1.5
2,2598,3.5
166,1505,3.0
79,1654,5.0
11,224,4.0
199,1800,3.0
201,1830,4.0
61,2004,3.5
39,1433,3.0
18,1335,5.0
200,1570,3.5
263,141,3.0
276,1364,3.5
84,273,4.0
38,366,3.0
192,230,4.0
60,2737,4.0
3,1721,3.5
128,360,3.0
88,2007,5.0
25,574,4.0
81,186,4.0
73,1472,3.5
3,2863,1.0
12,1183,3.0
54,2663,3.5
59,992,4.0
9,1272,4.0
190,2018,1.5
20,485,2.5
49,913,3.0
91,1631,4.0
100,656,3.0
58,119,3.5
194,2135,3.5
9,1435,5.0
23,398,3.0
34,2257,4.0
0,660,5.0
31,1282,4.0
0,2931,3.5
214,2412,2.0
42,1083,2.0
81,675,4.0
2,1395,4.0
57,894,4.0
169,2007,5.0
120,722,5.0
11,1287,4.5
56,308,3.0
23,671,3.0
41,1854,5.0
19,801,3.0
67,820,4.0
174,2902,5.0
149,473,3.0
186,360,4.0
83,2403,3.0
59,2116,4.0
230,416,5.0
156,297,2.5
16,1505,5.0
135,754,3.0
9,9,4.0
167,1636,5.0
12,2325,3.5
1,631,3.0
32,1638,4.0
13,2690,3.5
14,1890,5.0
53,625,4.0
88,1640,5.0
75,40,4.0
142,574,4.0
75,2341,1.0
20,1566,1.5
74,470,5.0
92,96,4.0
61,567,4.5
11,1106,4.0
267,2096,4.0
8,963,4.0
273,835,3.0
18,2723,1.5
5,1608,4.0
6,449,2.5
22,1642,5.0
43,466,4.0
19,1363,5.0
1,1073,4.0
101,2864,4.5
23,1871,4.0
166,266,4.0
295,2679,4.0
7,864,3.0
2,1780,3.0
44,14,4.0
64,2072,3.5
106,297,4.5
11,2136,4.0
86,1055,3.0
84,1118,3.0
96,202,3.0
250,328,5.0
179,2635,3.0
196,2309,4.5
188,337,2.0
12,979,4.0
5,1881,2.5
212,1279,3.5
92,794,5.0
44,2132,4.0
3,2802,2.5
78,365,4.0
3,2701,5.0
4,1698,2.0
52,1013,5.0
0,1724,2.0
50,1643,4.0
156,2488,5.0
78,844,4.5
21,324,4.0
9,826,2.0
12,2594,4.0
51,346,4.5
162,2640,3.0
166,1800,5.0
185,477,4.5
9,2067,4.0
56,413,1.0
